,ts_code,date,open,high,low,close,pre_close,change,pct_chg,vol,amount,ma30,ma5,ma30_rank,ma30_rank_standard,ma5_rank,ma5_rank_standard
4060,000002.SZ,20031023,0.7641,0.7678,0.748,0.7493,0.7604,-0.0110999999999999,-1.4598,40089.0,24563.2066,0.7351033333333331,0.7401599999999976,1.0,-1.0,5.0,1.0
4059,000002.SZ,20031024,0.748,0.7517,0.7394,0.7468,0.7493,-0.0024999999999999,-0.3336,26624.01,16107.9843,0.7339533333333331,0.7440999999999975,1.0,-1.0,5.0,1.0
4058,000002.SZ,20031028,0.7419,0.7468,0.7345,0.7419,0.7468,-0.0049,-0.6561,32627.71,19618.6901,0.7328033333333331,0.7468199999999976,1.0,-1.0,5.0,1.0
4057,000002.SZ,20031029,0.7406,0.7517,0.7345,0.7493,0.7419,0.0073999999999999,0.9974,47751.41,28771.8267,0.7330933333333332,0.7495399999999977,2.0,-0.5,5.0,1.0
4056,000002.SZ,20031030,0.7493,0.7493,0.7369,0.7394,0.7493,-0.0099,-1.3212,24735.56,14877.2017,0.7329299999999999,0.7453399999999976,2.0,-0.5,3.0,0.0
4055,000002.SZ,20031031,0.7382,0.7431,0.7271,0.732,0.7394,-0.0073999999999999,-1.0008,34712.99,20651.2471,0.7324766666666666,0.7418799999999977,1.0,-1.0,1.0,-1.0
4054,000002.SZ,20031103,0.7259,0.748,0.7222,0.7468,0.732,0.0148,2.0219,32246.27,19367.4689,0.7325599999999999,0.7418799999999977,2.0,-0.5,1.5,-0.75
4053,000002.SZ,20031104,0.7456,0.7801,0.7406,0.7678,0.7468,0.021,2.812,103358.74,64105.7181,0.7339566666666666,0.7470599999999976,5.0,1.0,4.0,0.5
4052,000002.SZ,20031105,0.7678,0.7702,0.7542,0.7567,0.7678,-0.0110999999999999,-1.4457,43092.62,26603.8654,0.73474,0.7485399999999977,5.0,1.0,5.0,1.0
4051,000002.SZ,20031106,0.7554,0.7579,0.7443,0.7493,0.7567,-0.0074,-0.9779,34414.44,20953.8634,0.7356433333333333,0.7505199999999976,5.0,1.0,5.0,1.0
4050,000002.SZ,20031107,0.7456,0.7468,0.7209,0.7332,0.7493,-0.0161,-2.1487,43599.86,25972.2337,0.7360533333333332,0.7507599999999977,5.0,1.0,5.0,1.0
4049,000002.SZ,20031110,0.7332,0.7382,0.7259,0.7332,0.7332,0.0,0.0,14507.87,8597.3292,0.7366266666666665,0.7480399999999977,5.0,1.0,2.0,-0.5
4048,000002.SZ,20031111,0.7308,0.7394,0.7271,0.7345,0.7332,0.0013,0.1773,15683.57,9307.9569,0.7374066666666667,0.7413799999999978,5.0,1.0,1.0,-1.0
4047,000002.SZ,20031112,0.7357,0.7369,0.7246,0.7259,0.7345,-0.0086,-1.1709,13503.31,7975.7364,0.7375299999999999,0.7352199999999979,5.0,1.0,1.0,-1.0
4046,000002.SZ,20031113,0.7271,0.7296,0.7135,0.7148,0.7259,-0.0110999999999999,-1.5291,38726.09,22600.4446,0.73671,0.7283199999999979,3.0,0.0,1.0,-1.0
4045,000002.SZ,20031114,0.7148,0.7209,0.7049,0.716,0.7148,0.0011999999999999,0.1679,46915.22,26993.4244,0.73638,0.7248799999999977,1.0,-1.0,1.0,-1.0
4044,000002.SZ,20031117,0.716,0.7246,0.7098,0.716,0.716,0.0,0.0,17661.66,10274.0737,0.73597,0.7214399999999979,1.0,-1.0,1.0,-1.0
4043,000002.SZ,20031118,0.716,0.7209,0.7086,0.7135,0.716,-0.0024999999999999,-0.3492,20327.17,11752.6417,0.7360500000000001,0.7172399999999979,2.0,-0.5,1.0,-1.0
4042,000002.SZ,20031119,0.7135,0.7185,0.7074,0.7172,0.7135,0.0036999999999999,0.5186,24261.22,14075.1934,0.7358833333333333,0.7154999999999978,1.0,-1.0,1.0,-1.0
4041,000002.SZ,20031120,0.7148,0.7394,0.7135,0.7271,0.7172,0.0099,1.3804,58494.72,34484.0259,0.7358433333333333,0.7179599999999978,1.0,-1.0,3.0,0.0
4040,000002.SZ,20031121,0.7271,0.7456,0.7209,0.7234,0.7271,-0.0036999999999999,-0.5089,38336.52,22747.9947,0.7357600000000001,0.7194399999999979,1.0,-1.0,4.0,0.5
4039,000002.SZ,20031124,0.7234,0.7443,0.716,0.7406,0.7234,0.0171999999999999,2.3777,52461.64,31374.6242,0.7355933333333334,0.7243599999999979,1.0,-1.0,5.0,1.0
4038,000002.SZ,20031125,0.7431,0.7616,0.7382,0.7456,0.7406,0.005,0.6751,103124.37,62514.0789,0.7357166666666667,0.7307799999999978,2.0,-0.5,5.0,1.0
4037,000002.SZ,20031126,0.748,0.7517,0.7345,0.7394,0.7456,-0.0062,-0.8315,43577.85,26219.5104,0.7358399999999999,0.7352199999999978,4.0,0.5,5.0,1.0
4036,000002.SZ,20031127,0.7382,0.7419,0.7222,0.7234,0.7394,-0.0159999999999999,-2.1639,40741.88,24168.9271,0.7353066666666667,0.7344799999999978,1.0,-1.0,4.0,0.5
4035,000002.SZ,20031128,0.7271,0.7332,0.7234,0.7283,0.7234,0.0048999999999999,0.6774,15544.13,9177.9692,0.7354300000000001,0.7354599999999978,2.0,-0.5,5.0,1.0
4034,000002.SZ,20031201,0.7283,0.7554,0.7259,0.7456,0.7283,0.0173,2.3754,60203.33,36183.3825,0.7360466666666667,0.7364599999999978,5.0,1.0,5.0,1.0
4033,000002.SZ,20031202,0.7468,0.7517,0.7369,0.7382,0.7456,-0.0074,-0.9925,46691.63,28164.3594,0.7363766666666667,0.7349799999999977,5.0,1.0,2.0,-0.5
4032,000002.SZ,20031203,0.7406,0.7431,0.7283,0.7394,0.7382,0.0011999999999999,0.1626,56046.0,33421.4514,0.7364999999999999,0.7349799999999977,5.0,1.0,2.5,-0.25
4031,000002.SZ,20031204,0.7394,0.7542,0.732,0.7542,0.7394,0.0148,2.0016,87320.4,52730.7173,0.7362933333333334,0.7411399999999977,3.0,0.0,5.0,1.0
4030,000002.SZ,20031205,0.7579,0.7591,0.7406,0.7419,0.7542,-0.0122999999999999,-1.6309,62109.13,37836.3984,0.7360466666666666,0.7438599999999977,1.0,-1.0,5.0,1.0
4029,000002.SZ,20031208,0.7406,0.7505,0.7357,0.7394,0.7419,-0.0025,-0.337,38078.11,22898.9601,0.7357999999999999,0.7426199999999977,1.0,-1.0,4.0,0.5
4028,000002.SZ,20031209,0.7394,0.7468,0.7357,0.7456,0.7394,0.0062,0.8385,24472.73,14705.4864,0.7359233333333333,0.7440999999999978,2.0,-0.5,5.0,1.0
4027,000002.SZ,20031210,0.7431,0.7493,0.7394,0.7468,0.7456,0.0011999999999999,0.1609,38251.02,23074.9807,0.7358399999999998,0.7455799999999978,2.0,-0.5,5.0,1.0
4026,000002.SZ,20031211,0.748,0.7678,0.7443,0.7554,0.7468,0.0085999999999999,1.1516,119551.29,73338.7697,0.7363733333333332,0.7458199999999977,5.0,1.0,5.0,1.0
4025,000002.SZ,20031212,0.7554,0.7567,0.7493,0.753,0.7554,-0.0023999999999999,-0.3177,34339.23,20964.0893,0.7370733333333332,0.7480399999999978,5.0,1.0,5.0,1.0
4024,000002.SZ,20031215,0.7542,0.7604,0.7468,0.7579,0.753,0.0049,0.6507,46424.93,28495.1531,0.7374433333333332,0.7517399999999979,5.0,1.0,5.0,1.0
4023,000002.SZ,20031216,0.7554,0.7554,0.7406,0.7456,0.7579,-0.0122999999999999,-1.6229,46738.24,28294.3424,0.7367033333333332,0.7517399999999979,3.0,0.0,4.5,0.75
4022,000002.SZ,20031217,0.7456,0.7517,0.7357,0.7382,0.7456,-0.0074,-0.9925,54924.4,33185.6412,0.7360866666666666,0.7500199999999979,1.0,-1.0,3.0,0.0
4021,000002.SZ,20031218,0.7332,0.7456,0.7246,0.7283,0.7382,-0.0099,-1.3411,57652.02,34241.4001,0.7353866666666665,0.7445999999999979,1.0,-1.0,1.0,-1.0
4020,000002.SZ,20031219,0.7283,0.7493,0.7234,0.7394,0.7283,0.0110999999999999,1.5241,125181.07,74736.2,0.7355933333333332,0.7418799999999979,2.0,-0.5,1.0,-1.0
4019,000002.SZ,20031222,0.7394,0.7517,0.7135,0.7517,0.7394,0.0123,1.6635,141020.55,83345.9036,0.7362099999999998,0.740639999999998,4.0,0.5,1.0,-1.0
4018,000002.SZ,20031223,0.7517,0.785,0.7443,0.7764,0.7517,0.0246999999999999,3.2859,267537.77,167623.7607,0.7376066666666664,0.7467999999999979,5.0,1.0,4.0,0.5
4017,000002.SZ,20031224,0.7764,0.8047,0.7764,0.7961,0.7764,0.0197,2.5374,235162.77,151277.4834,0.7399466666666664,0.7583799999999978,5.0,1.0,5.0,1.0
4016,000002.SZ,20031225,0.7973,0.8257,0.7973,0.806,0.7961,0.0099,1.2436,214996.97,141686.1716,0.7429866666666665,0.7739199999999979,5.0,1.0,5.0,1.0
4015,000002.SZ,20031226,0.8121,0.8134,0.7949,0.8047,0.806,-0.0013,-0.1613,115665.08,75309.8089,0.7459433333333331,0.7869799999999979,5.0,1.0,5.0,1.0
