,ts_code,date,open,high,low,close,pre_close,change,pct_chg,vol,amount,ma5,ma10,ma20,ma30,ma30_rank,ma30_rank_standard,signal,close5v,close10v,close20v,close30v
711,300022.SZ,20180530,4.4,4.44,4.17,4.19,4.45,-0.2599999999999998,-5.8427,61719.0,26573.215,4.477999999999955,4.550999999999971,4.556499999999992,4.5406666666666675,1.0,-1.0,-1.0,10.501193317422434,9.832935560859188,8.854415274463006,9.8090692124105
710,300022.SZ,20180531,4.22,4.26,4.2,4.25,4.19,0.0599999999999996,1.432,37049.91,15675.738,4.385999999999955,4.523999999999971,4.543499999999992,4.533666666666667,1.0,-1.0,-1.0,10.164705882352942,9.764705882352942,9.011764705882353,9.529411764705882
709,300022.SZ,20180601,4.68,4.68,4.68,4.68,4.25,0.4299999999999997,10.1176,62481.2,29241.201,4.411999999999955,4.530999999999971,4.551499999999992,4.539333333333334,2.0,-0.33333333333333326,-0.33333333333333326,9.081196581196583,8.547008547008549,7.9914529914529915,8.803418803418804
708,300022.SZ,20180604,4.69,4.9,4.58,4.59,4.68,-0.0899999999999998,-1.9231,282388.52,133868.701,4.431999999999954,4.520999999999971,4.5504999999999916,4.538666666666668,2.0,-0.33333333333333326,-0.33333333333333326,9.368191721132899,7.973856209150327,8.344226579520697,9.433551198257081
707,300022.SZ,20180605,4.5,4.52,4.37,4.5,4.59,-0.0899999999999998,-1.9608,157565.09,69970.629,4.441999999999955,4.502999999999971,4.544999999999992,4.538666666666668,2.5,0.0,0.0,9.511111111111111,8.266666666666666,8.466666666666667,9.777777777777779
706,300022.SZ,20180606,4.48,4.48,4.36,4.4,4.5,-0.0999999999999996,-2.2222,95968.04,42300.388,4.483999999999955,4.4809999999999715,4.532999999999992,4.536000000000001,1.0,-1.0,-1.0,9.363636363636363,8.159090909090908,8.295454545454545,9.636363636363637
705,300022.SZ,20180607,4.41,4.41,4.31,4.32,4.4,-0.08,-1.8182,67256.04,29274.072,4.497999999999955,4.441999999999971,4.515999999999993,4.528000000000001,1.0,-1.0,-1.0,9.606481481481481,8.49537037037037,9.305555555555554,9.837962962962962
704,300022.SZ,20180608,4.3,4.37,4.23,4.25,4.32,-0.0700000000000002,-1.6204,59292.01,25467.493,4.411999999999955,4.4119999999999715,4.500499999999993,4.517,1.0,-1.0,-1.0,9.411764705882353,8.51764705882353,9.505882352941176,9.976470588235294
703,300022.SZ,20180611,4.24,4.31,4.23,4.3,4.25,0.0499999999999998,1.1765,38108.57,16267.088,4.353999999999955,4.3929999999999705,4.492499999999993,4.512666666666667,1.0,-1.0,-1.0,8.511627906976745,8.744186046511627,9.13953488372093,10.395348837209301
702,300022.SZ,20180612,4.33,4.37,4.21,4.28,4.3,-0.0199999999999995,-0.4651,47064.9,20162.025,4.309999999999955,4.375999999999971,4.480499999999993,4.505666666666667,1.0,-1.0,-1.0,8.69158878504673,8.761682242990654,8.738317757009346,10.233644859813083
701,300022.SZ,20180613,4.26,4.29,4.1,4.12,4.28,-0.1600000000000001,-3.7383,54344.17,22788.141,4.253999999999956,4.3689999999999705,4.459999999999993,4.494000000000001,1.0,-1.0,-1.0,8.713592233009708,9.004854368932039,9.975728155339805,10.436893203883495
700,300022.SZ,20180614,4.13,4.17,4.1,4.15,4.12,0.0300000000000002,0.7282,37621.5,15557.597,4.219999999999956,4.358999999999971,4.441499999999993,4.482000000000001,1.0,-1.0,-1.0,8.843373493975902,9.228915662650602,9.759036144578312,10.289156626506022
699,300022.SZ,20180615,4.15,4.16,3.95,4.0,4.15,-0.1500000000000003,-3.6145,53614.39,21589.644,4.169999999999956,4.29099999999997,4.410999999999993,4.464666666666668,1.0,-1.0,-1.0,9.05,9.350000000000001,10.3,10.25
698,300022.SZ,20180619,4.02,4.09,3.6,3.66,4.0,-0.3399999999999998,-8.5,75843.8,29338.092,4.041999999999956,4.19799999999997,4.3594999999999935,4.433000000000001,1.0,-1.0,-1.0,10.273224043715846,10.464480874316939,11.830601092896174,11.612021857923496
697,300022.SZ,20180620,3.62,3.77,3.59,3.72,3.66,0.06,1.6393,45709.2,16816.885,3.9299999999999558,4.119999999999971,4.3114999999999934,4.403333333333333,1.0,-1.0,-1.0,10.080645161290322,10.241935483870968,11.827956989247312,11.155913978494624
696,300022.SZ,20180621,3.73,3.76,3.59,3.59,3.72,-0.1300000000000003,-3.4946,38154.2,14051.077,3.8239999999999554,4.03899999999997,4.259999999999994,4.368333333333333,1.0,-1.0,-1.0,10.33426183844011,10.167130919220055,11.810584958217271,12.061281337047355
695,300022.SZ,20180622,3.55,3.69,3.52,3.67,3.59,0.08,2.2284,33942.45,12347.918,3.7279999999999553,3.9739999999999704,4.207999999999994,4.335333333333333,1.0,-1.0,-1.0,10.435967302452315,10.95367847411444,11.580381471389646,11.171662125340598
694,300022.SZ,20180625,3.69,3.84,3.62,3.62,3.67,-0.0499999999999998,-1.3624,40360.18,15027.783,3.6519999999999557,3.9109999999999703,4.161499999999995,4.303999999999999,1.0,-1.0,-1.0,10.331491712707184,11.16022099447514,11.712707182320443,11.49171270718232
693,300022.SZ,20180626,3.6,3.83,3.56,3.76,3.62,0.1399999999999996,3.8674,61179.18,22849.28,3.6719999999999557,3.85699999999997,4.124999999999995,4.280666666666666,1.0,-1.0,-1.0,10.186170212765958,10.452127659574469,11.888297872340425,11.170212765957448
692,300022.SZ,20180627,3.72,3.77,3.69,3.75,3.76,-0.0099999999999997,-0.266,40694.0,15198.359,3.677999999999956,3.80399999999997,4.0899999999999945,4.255,1.0,-1.0,-1.0,10.16,9.973333333333334,11.68,10.986666666666666
691,300022.SZ,20180628,3.74,3.79,3.67,3.71,3.75,-0.04,-1.0667,36268.37,13571.85,3.7019999999999564,3.7629999999999706,4.0659999999999945,4.227666666666666,1.0,-1.0,-1.0,9.838274932614555,11.078167115902966,11.590296495956874,11.88679245283019
690,300022.SZ,20180629,3.72,3.84,3.7,3.83,3.71,0.1200000000000001,3.2345,43944.38,16631.205,3.7339999999999565,3.7309999999999706,4.044999999999995,4.204666666666666,1.0,-1.0,-1.0,10.496083550913838,10.574412532637075,11.148825065274151,11.331592689295038
689,300022.SZ,20180702,3.82,3.84,3.73,3.74,3.83,-0.0899999999999998,-2.3499,37508.29,14188.953,3.7579999999999556,3.7049999999999708,3.997999999999994,4.175666666666666,1.0,-1.0,-1.0,10.802139037433154,11.016042780748663,10.962566844919785,11.363636363636363
688,300022.SZ,20180703,3.72,3.84,3.72,3.83,3.74,0.0899999999999998,2.4064,41265.47,15651.826,3.771999999999956,3.72199999999997,3.9599999999999937,4.146999999999999,1.0,-1.0,-1.0,10.261096605744127,11.305483028720626,11.096605744125325,11.305483028720626
687,300022.SZ,20180704,3.81,3.98,3.77,3.81,3.83,-0.02,-0.5222,54223.01,20903.622,3.7839999999999554,3.7309999999999706,3.9254999999999938,4.117999999999999,1.0,-1.0,-1.0,9.816272965879266,11.548556430446196,10.892388451443571,11.233595800524936
686,300022.SZ,20180705,3.76,3.79,3.61,3.65,3.81,-0.1600000000000001,-4.1995,40555.63,15154.14,3.771999999999955,3.73699999999997,3.8879999999999937,4.085666666666667,1.0,-1.0,-1.0,11.260273972602741,11.616438356164384,11.863013698630137,11.753424657534246
685,300022.SZ,20180706,4.02,4.02,4.02,4.02,3.65,0.3699999999999996,10.137,54397.12,21867.642,3.809999999999955,3.77199999999997,3.872999999999994,4.062666666666667,1.0,-1.0,-1.0,10.074626865671643,10.572139303482588,10.199004975124378,10.92039800995025
684,300022.SZ,20180709,4.15,4.25,4.03,4.04,4.02,0.0200000000000004,0.4975,245040.65,101253.478,3.8699999999999557,3.8139999999999703,3.8624999999999945,4.0456666666666665,1.0,-1.0,-1.0,10.198019801980198,10.495049504950495,10.297029702970297,11.08910891089109
683,300022.SZ,20180710,3.92,4.0,3.92,3.93,4.04,-0.1099999999999998,-2.7228,129509.1,51205.526,3.8899999999999557,3.83099999999997,3.843999999999995,4.027,1.0,-1.0,-1.0,11.017811704834607,11.374045801526716,10.68702290076336,11.195928753180661
