,date,lable,text
1438,20140708,1.0231376663537406,0.8631284916201116
1437,20140709,1.020466707121967,0.8533886583679114
1436,20140710,1.0179812465526692,0.8372093023255814
1435,20140711,1.0171900826446223,0.8237650200267023
1434,20140714,1.019092159559829,0.8373655913978495
1433,20140715,1.0230080720443628,0.8270481144343304
1432,20140716,1.0268434315766348,0.8571428571428572
1431,20140717,1.0328083989501253,0.8548387096774194
1430,20140718,1.0347878324504334,0.8185378590078328
1429,20140721,1.035881775548036,0.8776077885952711
1428,20140722,1.0342573933881534,0.8893557422969187
1427,20140723,1.0279834494773459,0.894356005788712
1426,20140724,1.0228941214856648,0.9030390738060782
1425,20140725,1.023030961433997,0.8812849162011173
1424,20140728,1.0251599609586752,0.9030898876404494
1423,20140729,1.0268456375838868,0.8972222222222221
1422,20140730,1.034170040485824,0.8817934782608695
1421,20140731,1.0390881230173603,0.8993103448275861
1420,20140801,1.0432267395146975,0.9534883720930232
1419,20140804,1.0450373532550632,0.9510791366906475
1418,20140805,1.050087640091352,0.9985250737463126
1417,20140806,1.0524423768238464,0.9882352941176471
1416,20140807,1.0525372819729084,0.9664723032069971
1415,20140808,1.056007558658332,0.9742120343839541
1414,20140811,1.0589157823200317,0.9771428571428571
1413,20140812,1.0575550809937957,0.981375358166189
1412,20140813,1.0553218014648529,0.9839416058394161
1411,20140814,1.0557339687143834,0.9683908045977012
1410,20140815,1.0517348203221748,0.9797687861271677
1409,20140818,1.0489122049066442,0.9913544668587896
1408,20140819,1.0468333674933328,0.9829302987197724
1407,20140820,1.0493493238070875,1.0235294117647058
1406,20140821,1.05006862196919,1.078125
1405,20140822,1.0545914495319946,1.1182965299684542
1404,20140825,1.0548752834467057,1.089922480620155
1403,20140826,1.046981891348082,1.0550314465408805
1402,20140827,1.040100376411537,1.0640625
1401,20140828,1.0310714643680403,1.0310077519379846
1400,20140829,1.0201409365785337,1.0557275541795665
1399,20140901,1.015738619384395,1.0736196319018405
1398,20140902,1.021346306592528,1.0735068912710566
1397,20140903,1.0257930625555827,1.1004636785162287
1396,20140904,1.0352258191478834,1.0937019969278035
1395,20140905,1.0404233426429457,1.1121495327102804
1394,20140909,1.0411600996045056,1.053019145802651
1393,20140910,1.0463318586221926,1.108761329305136
1392,20140911,1.0460182135245049,1.1003039513677813
1391,20140912,1.0499204167269511,1.1488372093023256
1390,20140915,1.0529400461183647,1.1601255886970172
1389,20140916,1.0499784369159941,1.1138845553822152
1388,20140917,1.0464082588538872,1.1603174603174602
1387,20140918,1.0492427850271397,1.2367549668874172
1386,20140919,1.0495875604437224,1.2908163265306123
1385,20140922,1.0447860014187695,1.2265100671140938
1384,20140923,1.055215301988122,1.2814070351758795
1383,20140924,1.0638397673436786,1.2966666666666666
1382,20140925,1.073566433566428,1.3327814569536425
1381,20140926,1.0828007779938817,1.3864406779661016
1380,20140929,1.1182618261826127,1.5151515151515151
1379,20140930,1.1376488771706461,1.5104166666666665
1378,20141008,1.1561964849031037,1.4966101694915253
1377,20141009,1.1609612028460141,1.4384485666104552
1376,20141010,1.162098529607742,1.4257095158597661
1375,20141013,1.1411920529801272,1.469670710571924
1374,20141014,1.127928402211103,1.4859649122807017
1373,20141015,1.1049810432736253,1.3376623376623378
1372,20141016,1.0893259400450477,1.3236245954692556
1371,20141017,1.067338761793972,1.2878048780487803
1370,20141020,1.050867795157484,1.3300330033003303
1369,20141021,1.0305333731904125,1.296849087893864
1368,20141022,1.0164687859057784,1.2899505766062602
1367,20141023,0.999193034614563,1.2654424040066778
1366,20141024,0.9939024390243852,1.2857142857142858
1365,20141027,0.9851804939835287,1.3115577889447236
1364,20141028,0.9866229177183189,1.3411371237458192
1363,20141029,0.9883803850832616,1.335
1362,20141030,0.9964043816372554,1.3541315345699831
1361,20141031,0.9961196645387357,1.3122923588039868
1360,20141103,0.9992926981485283,1.336092715231788
1359,20141104,0.999378650428726,1.357615894039735
1358,20141105,1.0045360824742218,1.3725490196078431
1357,20141106,1.0081775220875233,1.3617021276595744
1356,20141107,1.0128304980528746,1.3582089552238805
1355,20141110,1.0129456446277565,1.3491803278688526
1354,20141111,0.9992648860573339,1.2504091653027822
1353,20141112,0.981818181818177,1.2532679738562091
1352,20141113,0.9682091567448092,1.285
1351,20141114,0.9576483129022952,1.328719723183391
1350,20141117,0.9500886122903138,1.3174061433447097
1349,20141118,0.9594739889173719,1.3372881355932202
1348,20141119,0.9730805923099209,1.3728813559322033
1347,20141120,0.9841256648936123,1.385934819897084
1346,20141121,1.0039075490522065,1.4053156146179404
1345,20141124,1.025758205234727,1.4224422442244224
1344,20141125,1.0535736482287081,1.504950495049505
1343,20141126,1.0709416188075807,1.4504065040650405
1342,20141127,1.0926825253107202,1.4678456591639872
1341,20141128,1.0954959389613534,1.4087237479806138
1340,20141201,1.0917799246765958,1.3896103896103897
1339,20141202,1.0757742685763205,1.4045676998368677
1338,20141203,1.0819991082647598,1.5323624595469258
1337,20141204,1.0900767037468329,1.60129659643436
1336,20141205,1.0991379310344784,1.5326797385620916
1335,20141208,1.1136399682791391,1.5348460291734198
1334,20141209,1.1104605159044107,1.377207062600321
1333,20141210,1.0944348100267967,1.4103773584905661
1332,20141211,1.0863202379089014,1.55188679245283
1331,20141212,1.0979920924102597,1.6226415094339621
1330,20141215,1.1090364223144258,1.653907496012759
1329,20141216,1.138751238850342,1.6259904912836767
1328,20141217,1.157280818026884,1.5921259842519686
1327,20141218,1.1732433951658188,1.7993527508090614
1326,20141219,1.1759688485073196,1.7612179487179487
1325,20141222,1.1821315924594689,1.781299524564184
1324,20141223,1.1726341782264464,1.6111975116640747
1323,20141224,1.1605934034279086,1.5495356037151702
1322,20141225,1.1298854267052103,1.5654853620955316
1321,20141226,1.1006193594054106,1.5429447852760738
1320,20141229,1.055446101885726,1.4344512195121952
1319,20141230,1.0331876202133197,1.4523449319213313
1318,20141231,1.0149025069637838,1.3810930576070901
1317,20150105,0.9901134353210489,1.361607142857143
1316,20150106,0.9766766870529653,1.4479638009049773
1315,20150107,0.9811087023846349,1.4441176470588235
1314,20150108,0.9779381443298925,1.3903508771929824
1313,20150109,0.9773569370111115,1.3722627737226278
1312,20150112,0.9858904109588998,1.4317507418397626
1311,20150113,0.9926733685465967,1.5089020771513353
1310,20150114,0.988939404220665,1.452802359882006
1309,20150115,0.9901652641184183,1.4186046511627908
1308,20150116,1.0003711075874593,1.4457308248914615
1307,20150119,0.9967558799675549,1.3491379310344829
1306,20150120,0.985482781904115,1.4
1305,20150121,0.9840509829045381,1.38787023977433
1304,20150122,0.9883986051502106,1.4580369843527738
1303,20150123,0.990052076378685,1.533532041728763
1302,20150504,1.0237533636756215,1.6622613803230544
1301,20150505,1.0717820149105985,1.8721804511278193
1300,20150506,1.1357065944464348,2.0087976539589443
