,ts_code,symbol,name,area,industry,market,list_date
645,002194.SZ,002194,武汉凡谷,湖北,通信设备,中小板,20071207
646,002195.SZ,002195,二三四五,上海,软件服务,中小板,20071212
647,002196.SZ,002196,方正电机,浙江,纺织机械,中小板,20071212
648,002197.SZ,002197,证通电子,深圳,电器仪表,中小板,20071218
649,002198.SZ,002198,嘉应制药,广东,中成药,中小板,20071218
650,002199.SZ,002199,东晶电子,浙江,元器件,中小板,20071221
651,002200.SZ,002200,ST云投,云南,环境保护,中小板,20071221
652,002201.SZ,002201,九鼎新材,江苏,玻璃,中小板,20071226
653,002202.SZ,002202,金风科技,新疆,电气设备,中小板,20071226
654,002203.SZ,002203,海亮股份,浙江,铜,中小板,20080116
655,002204.SZ,002204,大连重工,辽宁,专用机械,中小板,20080116
656,002205.SZ,002205,国统股份,新疆,其他建材,中小板,20080123
657,002206.SZ,002206,海利得,浙江,化纤,中小板,20080123
658,002207.SZ,002207,准油股份,新疆,石油开采,中小板,20080128
