,基金代码,拼音缩写,基金简称,基金类型,拼音全称
11245,162307,HFTZZ100ZSLOFA,海富通中证100指数(LOF)A,指数型-股票,HAIFUTONGZHONGZHENG100ZHISHULOFA
11246,162411,HBBPYQSYGPRMBA,华宝标普油气上游股票人民币A,QDII,HUABAOBIAOPUYOUQISHANGYOUGUPIAORENMINBIA
11247,162412,HBYLETFLJA,华宝医疗ETF联接A,指数型-股票,HUABAOYILIAOETFLIANJIEA
11248,162413,HBZZ1000ZS,华宝中证1000指数,指数型-股票,HUABAOZHONGZHENG1000ZHISHU
11249,162414,HBXJYHHLOFA,华宝新机遇混合(LOF)A,混合型-灵活,HUABAOXINJIYUHUNHELOFA
11250,162415,HBBPMGXFRMBA,华宝标普美国消费人民币A,QDII,HUABAOBIAOPUMEIGUOXIAOFEIRENMINBIA
11251,162416,HBGGTHSXG35,华宝港股通恒生香港35,指数型-股票,HUABAOGANGGUTONGHENGSHENGXIANGGANG35
11252,162509,GLAZZ100ZSLOF,国联安中证100指数(LOF),指数型-股票,GUOLIANANZHONGZHENG100ZHISHULOF
11253,162510,GLAZXZZLOF,国联安中小综指(LOF),指数型-股票,GUOLIANANZHONGXIAOZONGZHILOF
11254,162511,GLASJXYZQLOF,国联安双佳信用债券(LOF),债券型-混合债,GUOLIANANSHUANGJIAXINYONGZHAIQUANLOF
11255,162605,JSCCDYHHLOF,景顺长城鼎益混合(LOF),混合型-偏股,JINGSHUNCHANGCHENGDINGYIHUNHELOF
11256,162606,JSCCDYHHLOF,景顺长城鼎益混合(LOF)(后端),混合型-偏股,JINGSHUNCHANGCHENGDINGYIHUNHELOF
11257,162607,JSCCZYLDHH,景顺长城资源垄断混合,混合型-偏股,JINGSHUNCHANGCHENGZIYUANLONGDUANHUNHE
11258,162703,GFXPCZHHLOFA,广发小盘成长混合(LOF)A,混合型-偏股,GUANGFAXIAOPANCHENGZHANGHUNHELOFA
11259,162711,GFZZ500ETFLJA,广发中证500ETF联接A,指数型-股票,GUANGFAZHONGZHENG500ETFLIANJIEA
11260,162712,GFJLZQLOFA,广发聚利债券(LOF)A,债券型-混合债,GUANGFAJULIZHAIQUANLOFA
11261,162714,GFSZ100ZSLOFA,广发深证100指数(LOF)A,指数型-股票,GUANGFASHENZHENG100ZHISHULOFA
11262,162715,GFJYZQLOFA,广发聚源债券(LOF)A,债券型-长债,GUANGFAJUYUANZHAIQUANLOFA
11263,162716,GFJYZQLOFC,广发聚源债券(LOF)C,债券型-长债,GUANGFAJUYUANZHAIQUANLOFC
11264,162717,GFZRZZT,广发再融资主题,混合型-灵活,GUANGFAZAIRONGZIZHUTI
11265,162719,GFDQSSYZSRMBA,广发道琼斯石油指数人民币A,QDII,GUANGFADAOQIONGSISHIYOUZHISHURENMINBIA
11266,162720,GFCYBLNDKHH,广发创业板两年定开混合,混合型-偏股,GUANGFACHUANGYEBANLIANGNIANDINGKAIHUNHE
11267,162907,TXZZRLJBM400ZSLOF,泰信中证锐联基本面400指数(LOF),指数型-股票,TAIXINZHONGZHENGRUILIANJIBENMIAN400ZHISHULOF
11268,163001,CXYLBJHHLOF,长信医疗保健混合(LOF),混合型-灵活,CHANGXINYILIAOBAOJIANHUNHELOF
11269,163003,CXLXZQLOFC,长信利鑫债券(LOF)C,债券型-混合债,CHANGXINLIXINZHAIQUANLOFC
11270,163005,CXLZZQLOFC,长信利众债券(LOF)C,债券型-混合债,CHANGXINLIZHONGZHAIQUANLOFC
11271,163007,CXLZZQLOFA,长信利众债券(LOF)A,债券型-混合债,CHANGXINLIZHONGZHAIQUANLOFA
11272,163008,CXLXZQLOFA,长信利鑫债券(LOF)A,债券型-混合债,CHANGXINLIXINZHAIQUANLOFA
11273,163109,SWLXSZCFZSLOF,申万菱信深证成份指数(LOF),指数型-股票,SHENWANLINGXINSHENZHENGCHENGFENZHISHULOF
11274,163110,SWLXLHXPGP,申万菱信量化小盘股票,股票型,SHENWANLINGXINLIANGHUAXIAOPANGUPIAO
11275,163111,SWLXZXQY100ZSLOFA,申万菱信中小企业100指数(LOF)A,指数型-股票,SHENWANLINGXINZHONGXIAOQIYE100ZHISHULOFA
11276,163113,SWLXZZSWZQHYZS,申万菱信中证申万证券行业指数,指数型-股票,SHENWANLINGXINZHONGZHENGSHENWANZHENGQUANHANGYEZHISHU
11277,163114,SWLXZZHBCYZSLOFA,申万菱信中证环保产业指数(LOF)A,指数型-股票,SHENWANLINGXINZHONGZHENGHUANBAOCHANYEZHISHULOFA
11278,163115,SWLXZZJGZSLOF,申万菱信中证军工指数(LOF),指数型-股票,SHENWANLINGXINZHONGZHENGJUNGONGZHISHULOF
11279,163116,SWZZSWDZHYTZZSLOFA,申万中证申万电子行业投资指数(LOF)A,指数型-股票,SHENWANZHONGZHENGSHENWANDIANZIHANGYETOUZIZHISHULOFA
11280,163118,SWLXZZSWYYSWZSLOF,申万菱信中证申万医药生物指数(LOF),指数型-股票,SHENWANLINGXINZHONGZHENGSHENWANYIYAOSHENGWUZHISHULOF
11281,163208,NAYQNY,诺安油气能源,QDII,NUOANYOUQINENGYUAN
11282,163209,NACYBZSZQLOFA,诺安创业板指数增强(LOF)A,指数型-股票,NUOANCHUANGYEBANZHISHUZENGQIANGLOFA
11283,163210,NACZDKZA,诺安纯债定开债A,债券型-长债,NUOANCHUNZHAIDINGKAIZHAIA
11284,163211,NACZDKZC,诺安纯债定开债C,债券型-长债,NUOANCHUNZHAIDINGKAIZHAIC
11285,163302,DMZYYXHHLOF,大摩资源优选混合(LOF),混合型-偏股,DAMOZIYUANYOUXUANHUNHELOF
11286,163402,XQQSTZHHLOF,兴全趋势投资混合(LOF),混合型-灵活,XINGQUANQUSHITOUZIHUNHELOF
11287,163403,XQQSTZHHLOF,兴全趋势投资混合(LOF)(后端),混合型-灵活,XINGQUANQUSHITOUZIHUNHELOF
11288,163406,XQHRHHLOF,兴全合润混合(LOF),混合型-偏股,XINGQUANHERUNHUNHELOF
11289,163407,XQHS300ZSLOFA,兴全沪深300指数(LOF)A,指数型-股票,XINGQUANHUSHEN300ZHISHULOFA
11290,163408,XQHS300ZSLOFA,兴全沪深300指数(LOF)A(后端),指数型-股票,XINGQUANHUSHEN300ZHISHULOFA
11291,163409,XQLSTZHHLOF,兴全绿色投资混合(LOF),混合型-偏股,XINGQUANLVSETOUZIHUNHELOF
11292,163410,XQLSTZHHLOF,兴全绿色投资混合(LOF)(后端),混合型-偏股,XINGQUANLVSETOUZIHUNHELOF
11293,163411,XQJXHH,兴全精选混合,混合型-偏股,XINGQUANJINGXUANHUNHE
11294,163412,XQQZCHHLOF,兴全轻资产混合(LOF),混合型-偏股,XINGQUANQINGZICHANHUNHELOF
11295,163413,XQQZCHHLOF,兴全轻资产混合(LOF)(后端),混合型-偏股,XINGQUANQINGZICHANHUNHELOF
11296,163415,XQSYMSYXHH,兴全商业模式优选混合,混合型-偏股,XINGQUANSHANGYEMOSHIYOUXUANHUNHE
11297,163416,XQSYMSYXHH,兴全商业模式优选混合(后端),混合型-偏股,XINGQUANSHANGYEMOSHIYOUXUANHUNHE
11298,163417,XQHYHHLOFA,兴全合宜混合(LOF)A,混合型-灵活,XINGQUANHEYIHUNHELOFA
11299,163418,XQHXLNFBYZHHLOFA,兴全合兴两年封闭运作混合(LOF)A,混合型-偏股,XINGQUANHEXINGLIANGNIANFENGBIYUNZUOHUNHELOFA
11300,163503,TZHXCZHHLOF,天治核心成长混合(LOF),混合型-偏股,TIANZHIHEXINCHENGZHANGHUNHELOF
11301,163801,ZYZGHHLOF,中银中国混合(LOF),混合型-偏股,ZHONGYINZHONGGUOHUNHELOF
11302,163802,ZYHBA,中银货币A,货币型,ZHONGYINHUOBIA
11303,163803,ZYCXZZHHA,中银持续增长混合A,混合型-偏股,ZHONGYINCHIXUZENGZHANGHUNHEA
11304,163804,ZYSYHHA,中银收益混合A,混合型-偏股,ZHONGYINSHOUYIHUNHEA
11305,163805,ZYCLHH,中银策略混合,混合型-偏股,ZHONGYINCELUEHUNHE
11306,163806,ZYZLZQ,中银增利债券,债券型-混合债,ZHONGYINZENGLIZHAIQUAN
11307,163807,ZYYXLHPZHHA,中银优选灵活配置混合A,混合型-灵活,ZHONGYINYOUXUANLINGHUOPEIZHIHUNHEA
11308,163808,ZYZZ100ZSZQ,中银中证100指数增强,指数型-股票,ZHONGYINZHONGZHENG100ZHISHUZENGQIANG
11309,163809,ZYLCHH,中银蓝筹混合,混合型-灵活,ZHONGYINLANCHOUHUNHE
11310,163810,ZYJZHH,中银价值混合,混合型-灵活,ZHONGYINJIAZHIHUNHE
11311,163811,ZYSLZQA,中银双利债券A,债券型-混合债,ZHONGYINSHUANGLIZHAIQUANA
11312,163812,ZYSLZQB,中银双利债券B,债券型-混合债,ZHONGYINSHUANGLIZHAIQUANB
11313,163813,ZYQQCL,中银全球策略,QDII,ZHONGYINQUANQIUCELUE
11314,163816,ZYZZZQZQA,中银转债增强债券A,债券型-可转债,ZHONGYINZHUANZHAIZENGQIANGZHAIQUANA
11315,163817,ZYZZZQZQB,中银转债增强债券B,债券型-可转债,ZHONGYINZHUANZHAIZENGQIANGZHAIQUANB
11316,163818,ZYZXPCZHH,中银中小盘成长混合,混合型-偏股,ZHONGYINZHONGXIAOPANCHENGZHANGHUNHE
11317,163819,ZYXYZLZQLOFA,中银信用增利债券(LOF)A,债券型-混合债,ZHONGYINXINYONGZENGLIZHAIQUANLOFA
11318,163820,ZYHBB,中银货币B,货币型,ZHONGYINHUOBIB
11319,163821,ZYHS300DQZZS,中银沪深300等权重指数,指数型-股票,ZHONGYINHUSHEN300DENGQUANZHONGZHISHU
11320,163822,ZYZTCLHH,中银主题策略混合,混合型-偏股,ZHONGYINZHUTICELUEHUNHE
11321,163823,ZYWJCLHH,中银稳健策略混合,混合型-灵活,ZHONGYINWENJIANCELUEHUNHE
11322,163825,ZYHLBNDKZ,中银互利半年定开债,债券型-长债,ZHONGYINHULIBANNIANDINGKAIZHAI
11323,163827,ZYCYZZQA,中银产业债债券A,债券型-长债,ZHONGYINCHANYEZHAIZHAIQUANA
11324,163907,ZHHYCZFQS,中海惠裕纯债发起式,债券型-长债,ZHONGHAIHUIYUCHUNZHAIFAQISHI
11325,164105,HFQHHBZQLOF,华富强化回报债券(LOF),债券型-混合债,HUAFUQIANGHUAHUIBAOZHAIQUANLOF
11326,164205,THWHXXCY,天弘文化新兴产业,股票型,TIANHONGWENHUAXINXINGCHANYE
11327,164206,THTLZQLOFC,天弘添利债券(LOF)C,债券型-混合债,TIANHONGTIANLIZHAIQUANLOFC
11328,164208,THFLZQLOF,天弘丰利债券(LOF),债券型-混合债,TIANHONGFENGLIZHAIQUANLOF
11329,164210,THTLZQLOFC,天弘同利债券(LOF)C,债券型-长债,TIANHONGTONGLIZHAIQUANLOFC
11330,164304,XHZZHBCYZS,新华中证环保产业指数,指数型-股票,XINHUAZHONGZHENGHUANBAOCHANYEZHISHU
11331,164401,QHKYZZJKCYZS,前海开源中证健康产业指数,指数型-股票,QIANHAIKAIYUANZHONGZHENGJIANKANGCHANYEZHISHU
11332,164402,QHKYZHJGZS,前海开源中航军工指数,指数型-股票,QIANHAIKAIYUANZHONGHANGJUNGONGZHISHU
11333,164403,QHKYHGSNYHH,前海开源沪港深农业混合,混合型-灵活,QIANHAIKAIYUANHUGANGSHENNONGYEHUNHE
11334,164508,GFZZ100ZSZQLOF,国富中证100指数增强(LOF),指数型-股票,GUOFUZHONGZHENG100ZHISHUZENGQIANGLOF
11335,164509,GFHLZQLOFA,国富恒利债券(LOF)A,债券型-长债,GUOFUHENGLIZHAIQUANLOFA
11336,164510,GFHLZQLOFC,国富恒利债券(LOF)C,债券型-长债,GUOFUHENGLIZHAIQUANLOFC
11337,164606,HTBRXYZLZ,华泰柏瑞信用增利债,债券型-混合债,HUATAIBAIRUIXINYONGZENGLIZHAI
11338,164701,HTFHJJGJS,汇添富黄金及贵金属,QDII,HUITIANFUHUANGJINJIGUIJINSHU
11339,164702,HTFJJHDKZ,汇添富季季红定开债,债券型-混合债,HUITIANFUJIJIHONGDINGKAIZHAI
11340,164703,HTFCZZQLOF,汇添富纯债债券(LOF),债券型-长债,HUITIANFUCHUNZHAIZHAIQUANLOF
11341,164705,HTFHSZSA,汇添富恒生指数A,QDII,HUITIANFUHENGSHENGZHISHUA
11342,164808,GYSJSYZQLOF,工银四季收益债券(LOF),债券型-混合债,GONGYINSIJISHOUYIZHAIQUANLOF
11343,164809,GYZZ500ETFLJA,工银中证500ETF联接A,指数型-股票,GONGYINZHONGZHENG500ETFLIANJIEA
11344,164810,GYCZDKZ,工银纯债定开债,债券型-长债,GONGYINCHUNZHAIDINGKAIZHAI
11345,164811,GYZZJJJXTFZZSA,工银中证京津冀协同发展指数A,指数型-股票,GONGYINZHONGZHENGJINGJINJIXIETONGFAZHANZHISHUA
11346,164814,GYSZZQZQ,工银双债增强债券,债券型-混合债,GONGYINSHUANGZHAIZENGQIANGZHAIQUAN
11347,164818,GYZZCMZSLOFA,工银中证传媒指数(LOF)A,指数型-股票,GONGYINZHONGZHENGCHUANMEIZHISHULOFA
11348,164824,GYYDJJRMB,工银印度基金人民币,QDII,GONGYINYINDUJIJINRENMINBI
11349,164825,GYZZJJJXTFZZSC,工银中证京津冀协同发展指数C,指数型-股票,GONGYINZHONGZHENGJINGJINJIXIETONGFAZHANZHISHUC
11350,164826,GYCYBLNDKHHA,工银创业板两年定开混合A,混合型-偏股,GONGYINCHUANGYEBANLIANGNIANDINGKAIHUNHEA
11351,164902,JYXYTLZQLOF,交银信用添利债券(LOF),债券型-混合债,JIAOYINXINYONGTIANLIZHAIQUANLOF
11352,164903,JYXYTLZQLOF,交银信用添利债券(LOF)(后端),债券型-混合债,JIAOYINXINYONGTIANLIZHAIQUANLOF
11353,164905,JYXNYZSLOF,交银新能源指数(LOF),指数型-股票,JIAOYINXINNENGYUANZHISHULOF
11354,164906,JYZZHWZGHLWZS,交银中证海外中国互联网指数,QDII,JIAOYINZHONGZHENGHAIWAIZHONGGUOHULIANWANGZHISHU
11355,164908,JYZZHJZLLOF,交银中证环境治理(LOF),指数型-股票,JIAOYINZHONGZHENGHUANJINGZHILILOF
11356,165309,JXHS300ZSLOF,建信沪深300指数(LOF),指数型-股票,JIANXINHUSHEN300ZHISHULOF
11357,165310,JXHS300ZSZQLOFA,建信沪深300指数增强(LOF)A,指数型-股票,JIANXINHUSHEN300ZHISHUZENGQIANGLOFA
11358,165311,JXXYZQZQLOFA,建信信用增强债券(LOF)A,债券型-混合债,JIANXINXINYONGZENGQIANGZHAIQUANLOFA
11359,165312,JXYSCJ50ZSLOF,建信央视财经50指数(LOF),指数型-股票,JIANXINYANGSHICAIJING50ZHISHULOF
11360,165313,JXYSDLHHLOF,建信优势动力混合(LOF),混合型-偏股,JIANXINYOUSHIDONGLIHUNHELOF
11361,165314,JXXYZQZQLOFC,建信信用增强债券(LOF)C,债券型-混合债,JIANXINXINYONGZENGQIANGZHAIQUANLOFC
11362,165317,JXFYDCLHHLOF,建信丰裕多策略混合(LOF),混合型-灵活,JIANXINFENGYUDUOCELUEHUNHELOF
11363,165508,XCSDJZHHLOF,信诚深度价值混合(LOF),混合型-偏股,XINCHENGSHENDUJIAZHIHUNHELOF
11364,165509,XCZQSYZQLOF,信诚增强收益债券(LOF),债券型-混合债,XINCHENGZENGQIANGSHOUYIZHAIQUANLOF
11365,165510,XCSGPZ,信诚四国配置,QDII,XINCHENGSIGUOPEIZHI
11366,165511,ZXBCZZ500ZSLOF,中信保诚中证500指数(LOF),指数型-股票,ZHONGXINBAOCHENGZHONGZHENG500ZHISHULOF
11367,165512,XCXJYHHLOF,信诚新机遇混合(LOF),混合型-偏股,XINCHENGXINJIYUHUNHELOF
11368,165513,XCQQSPZT,信诚全球商品主题,QDII,XINCHENGQUANQIUSHANGPINZHUTI
11369,165515,XCHS300ZSLOF,信诚沪深300指数(LOF),指数型-股票,XINCHENGHUSHEN300ZHISHULOF
11370,165516,XCZQLDHHLOF,信诚周期轮动混合(LOF),混合型-偏股,XINCHENGZHOUQILUNDONGHUNHELOF
11371,165517,XCSYZQLOF,信诚双盈债券(LOF),债券型-混合债,XINCHENGSHUANGYINGZHAIQUANLOF
11372,165519,XCZZ800YYZSLOF,信诚中证800医药指数(LOF),指数型-股票,XINCHENGZHONGZHENG800YIYAOZHISHULOF
11373,165520,XCZZ800YSZSLOF,信诚中证800有色指数(LOF),指数型-股票,XINCHENGZHONGZHENG800YOUSEZHISHULOF
11374,165521,XCZZ800JRLOF,信诚中证800金融(LOF),指数型-股票,XINCHENGZHONGZHENG800JINRONGLOF
11375,165522,XCZZTMTCYZTZSLOF,信诚中证TMT产业主题指数(LOF),指数型-股票,XINCHENGZHONGZHENGTMTCHANYEZHUTIZHISHULOF
11376,165523,XCZZXXAQZSLOF,信诚中证信息安全指数(LOF),指数型-股票,XINCHENGZHONGZHENGXINXIANQUANZHISHULOF
11377,165524,XCZZZNJJZSLOF,信诚中证智能家居指数(LOF),指数型-股票,XINCHENGZHONGZHENGZHINENGJIAJUZHISHULOF
11378,165525,XCZZJJGCZSLOF,信诚中证基建工程指数LOF,指数型-股票,XINCHENGZHONGZHENGJIJIANGONGCHENGZHISHULOF
11379,165526,XCXWHHLOFA,信诚新旺混合(LOF)A,混合型-灵活,XINCHENGXINWANGHUNHELOFA
11380,165527,XCXWHHLOFC,信诚新旺混合(LOF)C,混合型-灵活,XINCHENGXINWANGHUNHELOFC
11381,165528,XCDL,信诚鼎利,混合型-灵活,XINCHENGDINGLI
11382,165530,ZXBCHZ18GYDKZQ,中信保诚惠泽18个月定开债券,债券型-混合债,ZHONGXINBAOCHENGHUIZE18GEYUEDINGKAIZHAIQUAN
11383,165531,XCDCLLHPZHH,信诚多策略灵活配置混合,混合型-灵活,XINCHENGDUOCELUELINGHUOPEIZHIHUNHE
11384,165806,DWHS300ZSA,东吴沪深300指数A,指数型-股票,DONGWUHUSHEN300ZHISHUA
11385,165809,DWZZKZZZS,东吴中证可转债指数,债券型-可转债,DONGWUZHONGZHENGKEZHUANZHAIZHISHU
11386,165810,DWHS300ZSC,东吴沪深300指数C,指数型-股票,DONGWUHUSHEN300ZHISHUC
11387,166001,ZOXQSHHA,中欧新趋势混合A,混合型-偏股,ZHONGOUXINQUSHIHUNHEA
11388,166002,ZOXLCHHA,中欧新蓝筹混合A,混合型-灵活,ZHONGOUXINLANCHOUHUNHEA
11389,166005,ZOJZFXHHA,中欧价值发现混合A,混合型-偏股,ZHONGOUJIAZHIFAXIANHUNHEA
11390,166006,ZOHYCZHHLOFA,中欧行业成长混合(LOF)A,混合型-偏股,ZHONGOUHANGYECHENGZHANGHUNHELOFA
11391,166007,ZOHTJXHHA,中欧互通精选混合A,混合型-偏股,ZHONGOUHUTONGJINGXUANHUNHEA
11392,166008,ZOZQHBZQLOFA,中欧增强回报债券(LOF)A,债券型-混合债,ZHONGOUZENGQIANGHUIBAOZHAIQUANLOFA
11393,166009,ZOXDLHHLOFA,中欧新动力混合(LOF)A,混合型-偏股,ZHONGOUXINDONGLIHUNHELOFA
11394,166010,ZODLZQA,中欧鼎利债券A,债券型-混合债,ZHONGOUDINGLIZHAIQUANA
11395,166011,ZOSSCZHHLOFA,中欧盛世成长混合(LOF)A,混合型-偏股,ZHONGOUSHENGSHICHENGZHANGHUNHELOFA
11396,166012,ZOXYZLZQLOFC,中欧信用增利债券(LOF)C,债券型-长债,ZHONGOUXINYONGZENGLIZHAIQUANLOFC
11397,166014,ZOHBA,中欧货币A,货币型,ZHONGOUHUOBIA
11398,166015,ZOHBB,中欧货币B,货币型,ZHONGOUHUOBIB
11399,166016,ZOCZZQLOFC,中欧纯债债券(LOF)C,债券型-长债,ZHONGOUCHUNZHAIZHAIQUANLOFC
11400,166019,ZOJZZXHHA,中欧价值智选混合A,混合型-灵活,ZHONGOUJIAZHIZHIXUANHUNHEA
11401,166020,ZOCZYXHHA,中欧成长优选混合A,混合型-灵活,ZHONGOUCHENGZHANGYOUXUANHUNHEA
11402,166023,ZORFLHPZHHLOFA,中欧瑞丰灵活配置混合(LOF)A,混合型-灵活,ZHONGOURUIFENGLINGHUOPEIZHIHUNHELOFA
11403,166024,ZOHLSNDQKFHH,中欧恒利三年定期开放混合,混合型-偏股,ZHONGOUHENGLISANNIANDINGQIKAIFANGHUNHE
11404,166025,ZOYJLNDKHHA,中欧远见两年定开混合A,混合型-偏股,ZHONGOUYUANJIANLIANGNIANDINGKAIHUNHEA
11405,166027,ZOCYBLNDKHHA,中欧创业板两年定开混合A,混合型-偏股,ZHONGOUCHUANGYEBANLIANGNIANDINGKAIHUNHEA
11406,166105,XDAYXAZQ,信达澳银鑫安债券,债券型-混合债,XINDAAOYINXINANZHAIQUAN
11407,166107,XDAYLHDYZHHLOFA,信达澳银量化多因子混合(LOF)A,混合型-偏股,XINDAAOYINLIANGHUADUOYINZIHUNHELOFA
11408,166108,XDAYLHDYZHHLOFC,信达澳银量化多因子混合(LOF)C,混合型-偏股,XINDAAOYINLIANGHUADUOYINZIHUNHELOFC
11409,166109,XDAYLHXFLOFA,信达澳银量化先锋(LOF)A,混合型-偏股,XINDAAOYINLIANGHUAXIANFENGLOFA
11410,166110,XDAYLHXFLOFC,信达澳银量化先锋(LOF)C,混合型-偏股,XINDAAOYINLIANGHUAXIANFENGLOFC
11411,166301,HSXQSYXLHPZHH,华商新趋势优选灵活配置混合,混合型-灵活,HUASHANGXINQUSHIYOUXUANLINGHUOPEIZHIHUNHE
11412,166401,PYASWJZLZQC,浦银安盛稳健增利债券C,债券型-混合债,PUYINANSHENGWENJIANZENGLIZHAIQUANC
11413,166402,PYASHGSJBM100,浦银安盛沪港深基本面100,指数型-股票,PUYINANSHENGHUGANGSHENJIBENMIAN100
11414,166801,ZSJCXSWHH,浙商聚潮新思维混合,混合型-平衡,ZHESHANGJUCHAOXINSIWEIHUNHE
11415,166802,ZSHS300ZSZQ,浙商沪深300指数增强,指数型-股票,ZHESHANGHUSHEN300ZHISHUZENGQIANG
11416,166803,ZSHMCZA,浙商惠民纯债A,债券型-长债,ZHESHANGHUIMINCHUNZHAIA
11417,166902,MSJYPWZLA,民生加银平稳增利A,债券型-长债,MINSHENGJIAYINPINGWENZENGLIA
11418,166903,MSJYPWZLC,民生加银平稳增利C,债券型-长债,MINSHENGJIAYINPINGWENZENGLIC
11419,166904,MSJYPWTLZQA,民生加银平稳添利债券A,债券型-长债,MINSHENGJIAYINPINGWENTIANLIZHAIQUANA
11420,166905,MSJYPWTLZQC,民生加银平稳添利债券C,债券型-长债,MINSHENGJIAYINPINGWENTIANLIZHAIQUANC
11421,167001,PADTHHLOF,平安鼎泰混合(LOF),混合型-灵活,PINGANDINGTAIHUNHELOF
11422,167002,PADYHHLOF,平安鼎越混合(LOF),混合型-灵活,PINGANDINGYUEHUNHELOF
11423,167003,PADHHHLOFA,平安鼎弘混合(LOF)A,混合型-偏债,PINGANDINGHONGHUNHELOFA
11424,167301,FZFBBXZTZS,方正富邦保险主题指数,指数型-股票,FANGZHENGFUBANGBAOXIANZHUTIZHISHU
11425,167302,FZFBDWQZZLOF,方正富邦大湾区综指(LOF),指数型-股票,FANGZHENGFUBANGDAWANQUZONGZHILOF
11426,167501,AXBLZQLOF,安信宝利债券(LOF),债券型-混合债,ANXINBAOLIZHAIQUANLOF
11427,167503,AXZZYDYLZTZS,安信中证一带一路主题指数,指数型-股票,ANXINZHONGZHENGYIDAIYILUZHUTIZHISHU
11428,167504,AXZDLLZLOFA,安信中短利率债(LOF)A,债券型-中短债,ANXINZHONGDUANLILVZHAILOFA
11429,167505,AXZDLLZLOFC,安信中短利率债(LOF)C,债券型-中短债,ANXINZHONGDUANLILVZHAILOFC
11430,167506,AXSZKJZSLOFA,安信深圳科技指数(LOF)A,指数型-股票,ANXINSHENZHENKEJIZHISHULOFA
11431,167507,AXSZKJZSLOFC,安信深圳科技指数(LOF)C,指数型-股票,ANXINSHENZHENKEJIZHISHULOFC
11432,167508,AXJZFXLNDKHHLOF,安信价值发现两年定开混合(LOF),混合型-偏股,ANXINJIAZHIFAXIANLIANGNIANDINGKAIHUNHELOF
11433,167601,GJHS300ZSZQ,国金沪深300指数增强,指数型-股票,GUOJINHUSHEN300ZHISHUZENGQIANG
11434,167702,DBLHYXGPLOFA,德邦量化优选股票(LOF)A,股票型,DEBANGLIANGHUAYOUXUANGUPIAOLOFA
11435,167703,DBLHYXGPLOFC,德邦量化优选股票(LOF)C,股票型,DEBANGLIANGHUAYOUXUANGUPIAOLOFC
11436,167705,DBLHXRGPA,德邦量化新锐股票A,股票型,DEBANGLIANGHUAXINRUIGUPIAOA
11437,167706,DBLHXRGPC,德邦量化新锐股票C,股票型,DEBANGLIANGHUAXINRUIGUPIAOC
11438,168001,GSABZZYLCY,国寿安保中证养老产业,指数型-股票,GUOSHOUANBAOZHONGZHENGYANGLAOCHANYE
11439,168002,GSABCLJXHHLOF,国寿安保策略精选混合(LOF),混合型-灵活,GUOSHOUANBAOCELUEJINGXUANHUNHELOF
11440,168101,JTRZSJQDHHLOF,九泰锐智事件驱动混合(LOF),混合型-灵活,JIUTAIRUIZHISHIJIANQUDONGHUNHELOF
11441,168102,JTRFSJQDHHLOF,九泰锐富事件驱动混合(LOF),混合型-偏股,JIUTAIRUIFUSHIJIANQUDONGHUNHELOF
11442,168103,JTRYDZHH,九泰锐益定增混合,混合型-灵活,JIUTAIRUIYIDINGZENGHUNHE
11443,168104,JTRFLHPZHHLOFA,九泰锐丰灵活配置混合(LOF)A,混合型-灵活,JIUTAIRUIFENGLINGHUOPEIZHIHUNHELOFA
11444,168105,JTTFDZHH,九泰泰富定增混合,混合型-灵活,JIUTAITAIFUDINGZENGHUNHE
11445,168106,JTYHLHHHLOFA,九泰盈华量化混合(LOF)A,混合型-灵活,JIUTAIYINGHUALIANGHUAHUNHELOFA
11446,168107,JTYHLHHHLOFC,九泰盈华量化混合(LOF)C,混合型-灵活,JIUTAIYINGHUALIANGHUAHUNHELOFC
11447,168108,JTRCHHLOFA,九泰锐诚混合(LOF)A,混合型-灵活,JIUTAIRUICHENGHUNHELOFA
11448,168111,JTRFLHPZHHLOFC,九泰锐丰灵活配置混合(LOF)C,混合型-灵活,JIUTAIRUIFENGLINGHUOPEIZHIHUNHELOFC
11449,168112,JTRCHHLOFC,九泰锐诚混合(LOF)C,混合型-灵活,JIUTAIRUICHENGHUNHELOFC
11450,168203,ZRGZGTHYZSLOF,中融国证钢铁行业指数(LOF),指数型-股票,ZHONGRONGGUOZHENGGANGTIEHANGYEZHISHULOF
11451,168204,ZRZZMTZSLOF,中融中证煤炭指数(LOF),指数型-股票,ZHONGRONGZHONGZHENGMEITANZHISHULOF
11452,168205,ZRZZYHZSLOF,中融中证银行指数(LOF),指数型-股票,ZHONGRONGZHONGZHENGYINHANGZHISHULOF
11453,168207,ZRCYBLNDKHH,中融创业板两年定开混合,混合型-偏股,ZHONGRONGCHUANGYEBANLIANGNIANDINGKAIHUNHE
11454,168301,DHXLHHLOF,东海祥龙混合(LOF),混合型-灵活,DONGHAIXIANGLONGHUNHELOF
11455,168401,HTCXZXJXLLOF,红土创新转型精选灵(LOF),混合型-灵活,HONGTUCHUANGXINZHUANXINGJINGXUANLINGLOF
11456,168501,BXRFCYSJ,北信瑞丰产业升级,混合型-偏股,BEIXINRUIFENGCHANYESHENGJI
11457,168601,HAYYDKHH,汇安裕阳定开混合,混合型-偏股,HUIANYUYANGDINGKAIHUNHE
11458,168701,HXZYJRKJZSLOFA,合煦智远金融科技指数(LOF)A,指数型-股票,HEXUZHIYUANJINRONGKEJIZHISHULOFA
