,基金代码,拼音缩写,基金简称,基金类型,拼音全称
1293,001706,NAJJHBHHA,诺安积极回报混合A,混合型-灵活,NUOANJIJIHUIBAOHUNHEA
1294,001707,NAGDZZGP,诺安高端制造股票,股票型,NUOANGAODUANZHIZAOGUPIAO
1295,001708,DXGGJXHH,东兴改革精选混合,混合型-灵活,DONGXINGGAIGEJINGXUANHUNHE
1296,001709,HFWLSJLHPZHH,华富物联世界灵活配置混合,混合型-灵活,HUAFUWULIANSHIJIELINGHUOPEIZHIHUNHE
1297,001710,AXXQSHHA,安信新趋势混合A,混合型-灵活,ANXINXINQUSHIHUNHEA
1298,001711,AXXQSHHC,安信新趋势混合C,混合型-灵活,ANXINXINQUSHIHUNHEC
1299,001712,DFHYSJXHH,东方红优势精选混合,混合型-灵活,DONGFANGHONGYOUSHIJINGXUANHUNHE
1300,001714,GYWTCYGPA,工银文体产业股票A,股票型,GONGYINWENTICHANYEGUPIAOA
1301,001715,GYXJDHHA,工银新焦点混合A,混合型-灵活,GONGYINXINJIAODIANHUNHEA
1302,001716,GYXQSLHPZHHA,工银新趋势灵活配置混合A,混合型-灵活,GONGYINXINQUSHILINGHUOPEIZHIHUNHEA
1303,001717,GYQYYLGPA,工银前沿医疗股票A,股票型,GONGYINQIANYANYILIAOGUPIAOA
1304,001718,GYWLCYGP,工银物流产业股票,股票型,GONGYINWULIUCHANYEGUPIAO
1305,001719,GYGJZLGP,工银国家战略股票,股票型,GONGYINGUOJIAZHANLUEGUPIAO
1306,001720,GYXZLHH,工银新增利混合,混合型-偏债,GONGYINXINZENGLIHUNHE
1307,001721,GYXZYHH,工银新增益混合,混合型-偏债,GONGYINXINZENGYIHUNHE
1308,001722,GYYHLHH,工银银和利混合,混合型-偏债,GONGYINYINHELIHUNHE
1309,001723,HSXDLHH,华商新动力混合,混合型-偏股,HUASHANGXINDONGLIHUNHE
1310,001724,SWLXDCLLHPZHHC,申万菱信多策略灵活配置混合C,混合型-灵活,SHENWANLINGXINDUOCELUELINGHUOPEIZHIHUNHEC
1311,001725,HTFGDZZGP,汇添富高端制造股票,股票型,HUITIANFUGAODUANZHIZAOGUPIAO
1312,001726,HTFXXXFGP,汇添富新兴消费股票,股票型,HUITIANFUXINXINGXIAOFEIGUPIAO
1313,001727,SWLXAXHBHHC,申万菱信安鑫回报混合C,混合型-灵活,SHENWANLINGXINANXINHUIBAOHUNHEC
1314,001728,YHZLXXDKHH,银华战略新兴定开混合,混合型-灵活,YINHUAZHANLUEXINXINGDINGKAIHUNHE
1315,001730,XYDJK,兴银大健康,混合型-灵活,XINGYINDAJIANKANG
1316,001731,GFBFDSJJZHHA,广发百发大数据价值混合A,混合型-灵活,GUANGFABAIFADASHUJUJIAZHIHUNHEA
1317,001732,GFBFDSJJZHHE,广发百发大数据价值混合E,混合型-灵活,GUANGFABAIFADASHUJUJIAZHIHUNHEE
1318,001733,TDHLLHGP,泰达宏利量化股票,股票型,TAIDAHONGLILIANGHUAGUPIAO
1319,001734,GFBFDSJCZHHA,广发百发大数据成长混合A,混合型-灵活,GUANGFABAIFADASHUJUCHENGZHANGHUNHEA
1320,001735,GFBFDSJCZHHE,广发百发大数据成长混合E,混合型-灵活,GUANGFABAIFADASHUJUCHENGZHANGHUNHEE
1321,001736,YXYFYJSH,圆信永丰优加生活,股票型,YUANXINYONGFENGYOUJIASHENGHUO
1322,001739,ZRRAHHEH,中融融安混合二号,混合型-灵活,ZHONGRONGRONGANHUNHEERHAO
1323,001740,GDZGZZ2025HH,光大中国制造2025混合,混合型-灵活,GUANGDAZHONGGUOZHIZAO2025HUNHE
