,基金代码,基金简称,2021-07-14-单位净值,2021-07-14-累计净值,2021-07-13-单位净值,2021-07-13-累计净值,日增长值,日增长率,申购状态,赎回状态,手续费
9855,004998,长信全球债券人民币,,,1.2275,1.2275,,,开放申购,开放赎回,0.08%
9856,007729,招商普盛全球配置(QDII-FOF)人民币,,,1.2274,1.2274,,,开放申购,开放赎回,0.15%
9857,009226,天弘中证中美互联网(QDII)C,,,1.2258,1.2258,,,开放申购,开放赎回,0.00%
9858,009113,浙商汇金卓越优选3个月(FOF),,,1.2254,1.2254,,,开放申购,开放赎回,0.10%
9859,100050,富国全球债券(QDII),,,1.2133,1.2133,,,开放申购,开放赎回,0.08%
9860,006105,泰达宏利印度(QDII),,,1.1959,1.1959,,,开放申购,开放赎回,0.15%
9861,010644,富国全球健康生活主题混合(QDII)人民币,,,1.1892,1.1892,,,开放申购,开放赎回,0.15%
9862,160140,南方道琼斯美国精选A,,,1.1862,1.2062,,,开放申购,开放赎回,0.12%
9863,000290,鹏华全球高收益债(QDII),,,1.1847,1.5192,,,限大额,开放赎回,0.08%
9864,007813,易方达中证浙江新动能ETF(QDII)联接A,,,1.1844,1.1844,,,开放申购,开放赎回,0.12%
9865,007814,易方达中证浙江新动能ETF(QDII)联接C,,,1.1816,1.1816,,,开放申购,开放赎回,0.00%
9866,160141,南方道琼斯美国精选C,,,1.1689,1.1889,,,开放申购,开放赎回,0.00%
9867,008886,民生卓越配置6个月混合(FOF),,,1.1674,1.1674,,,限大额,开放赎回,0.06%
9868,002901,财通资管积极收益债券A,,,1.1646,1.2546,,,限大额,开放赎回,0.08%
9869,005645,华泰保兴尊信定开债,,,1.1633,1.1633,,,暂停申购,暂停赎回,0.80%
9870,006918,国联安安享稳健养老(FOF),,,1.1625,1.1625,,,开放申购,开放赎回,0.08%
9871,002286,中银美元债债券人民币,,,1.1620,1.1620,,,开放申购,开放赎回,0.08%
9872,004243,广发道琼斯石油指数人民币C,,,1.1597,1.1597,,,开放申购,开放赎回,0.00%
9873,162719,广发道琼斯石油指数人民币A,,,1.1574,1.1574,,,开放申购,开放赎回,0.12%
9874,164824,工银印度基金人民币,,,1.1479,1.1479,,,开放申购,开放赎回,0.12%
9875,009613,上银中证500指数增强型A,,,1.1479,1.1479,,,开放申购,开放赎回,0.12%
9876,005243,融通中国概念债券,,,1.1462,1.2062,,,开放申购,开放赎回,0.08%
9877,004421,汇添富美元债债券美元现汇A,,,1.1461,1.1461,,,开放申购,开放赎回,0.80%
9878,002902,财通资管积极收益债券C,,,1.1460,1.2310,,,限大额,开放赎回,0.00%
