,ts_code,date,open,high,low,close,pre_close,change,pct_chg,vol,amount,ma8,ma25,ma8_-1,ma25_-1,close5v,close10v,close20v,close30v,b
1813,000002.SZ,20130507,8.4223,8.6764,8.4073,8.6539,8.4596,0.1943000000000001,2.2968,797639.91,919178.2494,8.427875,8.404040000000006,8.43815,8.390292000000006,9.77547695258785,10.556627647650192,10.407446353667133,8.687528166491408,0
1812,000002.SZ,20130508,8.7586,8.9977,8.7287,8.7735,8.6539,0.1196000000000001,1.382,805204.26,952822.1519,8.47085,8.418688000000007,8.427875,8.404040000000006,9.633783552744058,10.47335726904884,10.239585114264546,7.8160369293896395,0
1811,000002.SZ,20130509,8.7361,8.766,8.5194,8.6614,8.7735,-0.1120999999999998,-1.2777,610237.13,706179.5484,8.4979375,8.437520000000006,8.47085,8.418688000000007,10.258156879950121,10.52993742351121,10.074006511649387,7.759369155101946,0
1810,000002.SZ,20130510,8.6539,8.8034,8.6315,8.781,8.6614,0.1196000000000001,1.3808,402360.98,470946.3934,8.569862500000001,8.467116000000006,8.4979375,8.437520000000006,10.516228220020498,10.300079717572029,9.694681699123107,7.7747409178909,0
1809,000002.SZ,20130513,8.7959,8.8931,8.6614,8.6838,8.781,-0.0972000000000008,-1.1069,383751.74,449671.7083,8.624975000000001,8.485648000000007,8.569862500000001,8.467116000000006,10.43287500863677,10.3192150901679,9.330938068587486,7.949284875285013,0
1808,000002.SZ,20130514,8.6614,8.7212,8.4148,8.4596,8.6838,-0.2241999999999997,-2.5818,428877.58,488095.321,8.6231,8.489232000000007,8.624975000000001,8.485648000000007,10.799092155657476,11.095323655964823,9.59619840181569,8.842143836588019,0
1807,000002.SZ,20130515,8.4596,8.5344,8.3774,8.4522,8.4596,-0.0074000000000005,-0.0875,328494.74,370905.9595,8.615625000000001,8.492520000000006,8.6231,8.489232000000007,10.871489079766217,11.06918908686496,9.28113390596531,8.87686046236483,0
1806,000002.SZ,20130516,8.4901,8.885,8.4446,8.885,8.4522,0.4328000000000003,5.1206,851156.14,977273.4042,8.668800000000001,8.519696000000005,8.615625000000001,8.492520000000006,10.264940911648848,10.521440630275746,8.923128868880136,8.307709622960045,0
1805,000002.SZ,20130517,8.8698,9.2647,8.8622,9.2343,8.885,0.3492999999999995,3.9313,1513641.29,1814199.3068,8.74135,8.560548000000006,8.668800000000001,8.519696000000005,9.794461951636833,9.85207324864906,8.379953001310334,7.779690934884075,0
1804,000002.SZ,20130520,9.2647,9.4546,9.0369,9.0597,9.2343,-0.1745999999999998,-1.8908,1262904.87,1539658.6877,8.777125000000002,8.592920000000005,8.74135,8.560548000000006,9.891055995231632,10.0586112122918,8.315175999205271,8.214620793182997,0
1803,000002.SZ,20130521,9.1053,9.1356,8.9382,9.1356,9.0597,0.0759000000000007,0.8378,692932.66,824911.4066,8.836400000000001,8.629524000000005,8.777125000000002,8.592920000000005,10.274311484741014,9.858684705985377,8.229454004115766,8.478808178992075,0
1802,000002.SZ,20130522,9.1053,9.3407,9.0217,9.1888,9.1356,0.0532000000000003,0.5823,765033.39,929453.5817,8.887375000000002,8.670648000000005,8.836400000000001,8.629524000000005,10.181851819606479,9.776793487724186,7.462780776597597,8.264408845551106,0
1801,000002.SZ,20130523,9.1888,9.4698,9.0369,9.1204,9.1888,-0.0684000000000004,-0.7444,931650.82,1140034.9861,8.941950000000002,8.705748000000005,8.887375000000002,8.670648000000005,10.24987939125477,9.567014604622605,7.368865400640323,8.043287575106355,0
1800,000002.SZ,20130524,9.1508,9.2571,8.9002,9.0445,9.1204,-0.0759000000000007,-0.8322,876620.35,1038767.3043,9.015062500000003,8.719576000000005,8.941950000000002,8.705748000000005,10.058820277516723,9.412239482558462,7.548233733208027,8.631433467853393,0
1799,000002.SZ,20130527,8.9913,9.0141,8.8698,8.961,9.0445,-0.083499999999999,-0.9232,512374.99,602815.6719,9.078662500000004,8.729764000000007,9.015062500000003,8.719576000000005,10.16940073652494,9.042294386787189,7.703381319049213,9.13558754603281,0
1798,000002.SZ,20130528,8.9686,9.4014,8.9002,9.3862,8.961,0.4252000000000002,4.745,941787.64,1134595.1806,9.141312500000003,8.755468000000006,9.078662500000004,8.729764000000007,9.595469945238754,8.648867486309689,7.969252732735292,8.414267754788945,0
1797,000002.SZ,20130529,9.3862,9.5761,9.3103,9.3559,9.3862,-0.0303000000000004,-0.3228,988520.07,1228475.6499,9.156512500000003,8.773680000000006,9.141312500000003,8.755468000000006,9.60217616691072,8.38465567182206,8.019431588623222,8.482134268215779,0
1796,000002.SZ,20130530,9.2647,9.4546,9.1964,9.3483,9.3559,-0.0076,-0.0812,517750.25,636178.8678,9.192587500000002,8.798168000000006,9.156512500000003,8.773680000000006,9.333782612881487,8.480900270637443,7.8959810874704495,8.489030091032594,0
1795,000002.SZ,20130531,9.3483,9.4242,9.0749,9.0977,9.3483,-0.2506000000000004,-2.6807,613793.59,743854.377,9.187850000000003,8.824888000000007,9.192587500000002,8.798168000000006,9.357200171471911,8.505776185189664,7.896501313518803,8.67274146212779,0
1794,000002.SZ,20130603,9.1204,9.2647,9.0749,9.1128,9.0977,0.0151000000000003,0.166,523489.06,630894.6181,9.178350000000002,8.851612000000006,9.187850000000003,8.824888000000007,8.891668861381794,8.266723729259942,8.166754455271706,8.433412343077869,0
1793,000002.SZ,20130604,9.1128,9.2343,8.9154,9.0065,9.1128,-0.1062999999999991,-1.1665,737881.88,878947.6529,9.164112500000002,8.883648000000004,9.178350000000002,8.851612000000006,9.013490257036583,8.347415755287846,8.600344195858545,8.060733914395158,0
1792,000002.SZ,20130605,9.0369,9.0369,8.8698,8.9837,9.0065,-0.0228000000000001,-0.2532,478928.3,563541.1064,9.156512500000002,8.913280000000006,9.164112500000002,8.883648000000004,8.7320369112949,7.633157830292641,8.453087258033994,7.988245377739683,0
1791,000002.SZ,20130606,8.9534,8.9762,8.68,8.7255,8.9837,-0.2582000000000004,-2.8741,676427.62,782219.0406,9.127075000000001,8.923316000000005,9.156512500000002,8.913280000000006,9.086241476133173,7.702366626554352,8.407311901896739,8.598819551888145,0
1790,000002.SZ,20130607,8.6952,8.7559,8.399,8.5129,8.7255,-0.2126000000000001,-2.4365,876525.03,987778.6313,9.017912500000001,8.923352000000005,9.127075000000001,8.923316000000005,9.090086809430392,8.019593792949523,9.170435456777362,8.554899035581295,0
1789,000002.SZ,20130613,8.3534,8.3534,7.9358,8.1028,8.5129,-0.4100999999999999,-4.8174,869389.21,933052.156,8.861275000000001,8.909080000000007,9.017912500000001,8.923352000000005,9.297156538480525,8.5192772868638,10.10317421138372,8.903465468726859,0
